女人,nǚrén,woman
父母,fùmu,parent (= mother/father)
婴儿,yīng'ér,baby
国王,guó wáng,king
家庭,jiātíng,family
男人,nánrén,man
妻子,qīzi,wife
球星,qiúxīng,player
迷,mí,fan
成人,chéngrén,adult
男孩子,nánhaízi,boy
朋 友,péngyoǔ,friend (Add a friend's name)
姐姐,jiějie ,sister
邻居,línjū,neighbor
哥哥,gēge ,brother
总统,zǒngtǒng,president
人,rén,human (≠ animal)
孩子,haízi,child (= boy/girl)
女孩子,nǚhaízi,girl
女王,nǚwáng,queen
妈妈,māma,mother
丈 夫,zhàngfu,husband
爷爷,yéyé ,grandfather
女儿,nǚ'ér,daughter
奶奶,nǎinai ,grandmother
人,rén,person
人群,rénqún,crowd
儿子,érzi,son
受害者,shòuhàizhě,victim
爸爸,bàba,father
