戒指,jièzhi,ring
电话,diànhuà,telephone
礼物,lǐwù,gift
照片,zhàopiàn,photograph
工具,gōngjù,tool
床,chuáng,bed
家,jiā,home
锁,suǒ,lock
针,zhēn,needle
纸,zhǐ,paper
信,xìn,letter
椅子,yǐzi,chair
桌子,zhuōzi,table
盒子,hézi,box
卫生间,wèishēngjiān ,bathroom
窗,chuāng,window
园,yuán,garden
厨房,chúfáng,kitchen
游泳池,yóuyǒngchí,pool
地板,dìbǎn,floor
笔,bǐ,pen
墙,qiáng,wall
院子,yuànzi,yard
袋子,dàizi,bag
卧室,wòshì,bedroom
天花板,tiānhuābǎn,ceiling
油漆,yóuqī,paint
卡,kǎ,card
铅笔,qiānbǐ,pencil
便条,biàntiáo,note
梦想,mèngxiǎng,dream
页,yè,page
书,shū,book
钥匙,yàoshi,key
门,mén,door
屋顶,wūdǐng,roof
肥皂,féizào,soap
