年轻,niánqīng,young
浅,qiǎn,shallow
新,xīn,new
健康的,jiànkāngde,healthy
矮,ǎi,short (vs tall)
紧,jǐn,tight
聋,lóng,deaf
响亮的,xiǎngliàng de,loud
暗,àn,dark
冷,lěng,cold
湿,shī,wet
长,cháng,long
松,sōng,loose
旧,jiù,old (vs new)
硬,yìng,hard
死的,sǐde,dead
弯曲的,wānqū de,curved
暖,nuǎn,warm
脏,zāng,dirty
美丽,měilì,beautiful
高,gāo,tall
便宜,piányi,cheap
安静,ānjìng,quiet
活着的,huózhede,alive
盲,máng,blind
快乐,kuàilè,happy
窄,zhǎi,narrow
瘦,shòu,thin
小,xiǎo,small/little
强,qiáng,strong
重,zhòng,heavy
丑,chǒu,ugly
平的,píng de,flat
好,hǎo,good
热,rè,hot
干,gān,dry
厚,hòu,thick
大,dà,big/large
男的,nánde,male
高,gāo,high
快,kuài,fast
不好,bùhǎo,bad
伤心,shāngxīn,sad
和蔼,hé'ǎi,nice
亮的,liàngde,light (vs dark)
女的,nǚde,female
富有,fùyǒu,rich
慢,màn,slow
穷,qióng,poor
核的,héde,nuclear
贵,guì,expensive
低,dī,low
短,duǎn,short (vs long)
深,shēn,deep
弱,ruò,weak
软,ruǎn,soft
老,lǎo,old (vs young)
生 病(了),shēngbìng,sick
干 净,gānjìng,clean
有名,yǒumíng,famous
刻薄,kèbó,mean
轻,qīng,light (vs heavy)
宽,kuān,wide
凉,liáng,cool
