性交,xìngjiāo,sex (the act)
婚姻,hūnyīn,marriage
体育,tǐyù,sport
运动,yùndòng,exercise
钱,qián,money
招牌,biāo zhì/ fú hào],sign
价格,jiàgé,price
天堂,tiāntáng,heaven
美元,měiyuán,dollar
合同,hétong,contract
药,yaò,medicine
婚礼,hūnlǐ,wedding
队,duì,team
球,qiú,ball
技术,jìshù,technology
毒品,dúpǐn,drug
监狱,jiānyù,prison
死亡,sǐwáng,death
游戏,yóuxì,game
速度竞赛,sùdù jìngsài,race (sport)
选举,xuǎnjǔ,election
种族,zhǒngzú,race (ethnicity)
枪,qiāng,gun
谋杀,móushā,murder
性别,xìngbié,sex (gender)
科学,kēxué,science
杂志,zázhì,magazine
能源,néngyuán,energy
钞 票,chāopiào,bill
上帝,shàngdì,God
和平,hépíng,peace
报纸,bàozhǐ,newspaper
袭击,xíjī,attack
战争,zhànzhēng,war
地 狱,dìyù,hell
宗教,zōngjiaò,religion
毒药,dúyào,poison
